book_name,price,image,link
Learn Hindi In 30 Days Through Telugu,₹80,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/a/r/1/learn-hindi-in-30-days-through-telugu-original-imagztfrrsysnchk.jpeg?q=70,https://www.flipkart.com/learn-hindi-30-days-through-telugu/p/itm3d92e8ece5330?pid=RBKGZTFRG7ZQQQYQ&lid=LSTRBKGZTFRG7ZQQQYQCV9JWD&marketplace=FLIPKART&q=books&store=bks&srno=s_21_810&otracker=search&fm=organic&iid=8b40245b-0312-4da8-895e-c58968baf7d0.RBKGZTFRG7ZQQQYQ.SEARCH&ppt=None&ppn=None&ssid=imyd69zno00000001723900739398&qH=7d8949bcbf85067f
Jee Topper Combo Colorful Flashcards(Mains/Advanced),"₹1,269",https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/i/h/n/-original-imagzne8fqhqy5dh.jpeg?q=70,https://www.flipkart.com/jee-topper-combo-colorful-flashcards-mains-advanced/p/itm0fefcd0d695a1?pid=RBKGWH95HRAZWYTC&lid=LSTRBKGWH95HRAZWYTCOQKOKK&marketplace=FLIPKART&q=books&store=bks&srno=s_21_811&otracker=search&fm=organic&iid=en_VEnE4QRNP5ZV9_srdpnY8kFJfA6P5pqUJXNnpF3vay0FPqxw5GPttQvCpLTVFdSt1meJs0bE7vcXFFtjOK0sHQ%3D%3D&ppt=None&ppn=None&ssid=imyd69zno00000001723900739398&qH=7d8949bcbf85067f
PW CBSE Class 10th PYQs - Past 10 Years' Solved Papers ...,₹655,https://rukminim2.flixcart.com/image/612/612/xif0q/book/l/k/v/pw-cbse-class-10th-pyqs-past-10-years-solved-papers-2024-2025-original-imah3fkeg9a7xuy8.jpeg?q=70,https://www.flipkart.com/pw-cbse-class-10th-pyqs-past-10-years-solved-papers-2024-2025-delhi-outside-science-mathematics-standard-social-english-language-literature-step-wise-marking/p/itma4d9ad198a1c4?pid=9789360343804&lid=LSTBOK9789360343804RUP21W&marketplace=FLIPKART&q=books&store=bks&srno=s_21_812&otracker=search&fm=organic&iid=en_VEnE4QRNP5ZV9_srdpnY8kFJfA6P5pqUJXNnpF3vay3uU-il1TJrYVx3kyVbhMbnJSET1L4nP_Dasb9l4AzsmA%3D%3D&ppt=None&ppn=None&ssid=imyd69zno00000001723900739398&qH=7d8949bcbf85067f
Buddha And His Dhamma (Hindi),₹405,https://rukminim2.flixcart.com/image/612/612/kltryq80/regionalbooks/j/r/f/buddha-and-his-dhamma-hindi-original-imagyv7bngs42xkn.jpeg?q=70,https://www.flipkart.com/buddha-his-dhamma-hindi/p/itmcf2c1913c52f3?pid=RBKGYWC5D45AHZVB&lid=LSTRBKGYWC5D45AHZVBGXEHJW&marketplace=FLIPKART&q=books&store=bks&srno=s_21_813&otracker=search&fm=organic&iid=8b40245b-0312-4da8-895e-c58968baf7d0.RBKGYWC5D45AHZVB.SEARCH&ppt=None&ppn=None&ssid=imyd69zno00000001723900739398&qH=7d8949bcbf85067f
The Power of Your Subconscious Mind,₹168,https://rukminim2.flixcart.com/image/612/612/xif0q/book/e/b/3/youth-and-truth-original-imagkcs3zej7dmme.jpeg?q=70,https://www.flipkart.com/power-your-subconscious-mind/p/itmfc599jmcfhhwm?pid=9789354990557&lid=LSTBOK9789354990557XDHSUZ&marketplace=FLIPKART&q=books&store=bks&srno=s_21_814&otracker=search&fm=organic&iid=8b40245b-0312-4da8-895e-c58968baf7d0.9789354990557.SEARCH&ppt=None&ppn=None&ssid=imyd69zno00000001723900739398&qH=7d8949bcbf85067f
Complete Math Bramhastra Formula Book Aaditya Ranjan 20...,₹299,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/c/e/6/complete-math-bramhastra-formula-book-aaditya-ranjan-2024-original-imahfytc76ypzsjc.jpeg?q=70,https://www.flipkart.com/complete-math-bramhastra-formula-book-aaditya-ranjan-2024-bilangual-colour/p/itmd6a949a8b4cbc?pid=RBKHFYTCKGKSHVBG&lid=LSTRBKHFYTCKGKSHVBGBZDGBA&marketplace=FLIPKART&q=books&store=bks&srno=s_21_815&otracker=search&fm=organic&iid=8b40245b-0312-4da8-895e-c58968baf7d0.RBKHFYTCKGKSHVBG.SEARCH&ppt=None&ppn=None&ssid=imyd69zno00000001723900739398&qH=7d8949bcbf85067f
"MTG NSO-IMO-IEO (Science, Mathematics & English) Olympi...",₹290,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/x/1/r/mtg-nso-imo-ieo-science-mathematics-english-olympiad-workbook-original-imagzh2xyfmxjfwq.jpeg?q=70,https://www.flipkart.com/mtg-nso-imo-ieo-science-mathematics-english-olympiad-workbook-combo-class-6-set-3-books-mcqs-previous-years-solved-paper-achievers-section-sof-preparation-books-2024-25-exam/p/itm79b54f92bf249?pid=RBKGZH2ZWFNEYEDD&lid=LSTRBKGZH2ZWFNEYEDDJMKU6C&marketplace=FLIPKART&q=books&store=bks&srno=s_21_816&otracker=search&fm=organic&iid=8b40245b-0312-4da8-895e-c58968baf7d0.RBKGZH2ZWFNEYEDD.SEARCH&ppt=None&ppn=None&ssid=imyd69zno00000001723900739398&qH=7d8949bcbf85067f
SSC MTS 2024 : 2430 TCS MCQ Chapter Wise Hindi Medium,₹260,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/9/l/f/ssc-mts-2024-2430-tcs-mcq-chapter-wise-hindi-medium-original-imagvy392xbyn6kw.jpeg?q=70,https://www.flipkart.com/ssc-mts-2024-2430-tcs-mcq-chapter-wise-hindi-medium/p/itmc3642099e81bf?pid=RBKGVY3A8GGQPNVH&lid=LSTRBKGVY3A8GGQPNVHSNOGH5&marketplace=FLIPKART&q=books&store=bks&srno=s_21_817&otracker=search&fm=organic&iid=en_VEnE4QRNP5ZV9_srdpnY8kFJfA6P5pqUJXNnpF3vay0yK1fIcVAlyfUSBXtq3TurnghuPAqUNijZv6zWlYoNag%3D%3D&ppt=None&ppn=None&ssid=imyd69zno00000001723900739398&qH=7d8949bcbf85067f
General Practice Guide,₹360,https://rukminim2.flixcart.com/image/612/612/l4pxk7k0/regionalbooks/t/i/k/general-practice-guide-original-imagfjzq4mwdf3gb.jpeg?q=70,https://www.flipkart.com/general-practice-guide/p/itm89178ac8664eb?pid=RBKGFJZQRGZTB2PS&lid=LSTRBKGFJZQRGZTB2PSBMT6DA&marketplace=FLIPKART&q=books&store=bks&srno=s_21_818&otracker=search&fm=organic&iid=en_VEnE4QRNP5ZV9_srdpnY8kFJfA6P5pqUJXNnpF3vay13SDG6zou1E2XuNn_kpjjT7Asd6J0HfEcdrMCrdRC7SQ%3D%3D&ppt=None&ppn=None&ssid=imyd69zno00000001723900739398&qH=7d8949bcbf85067f
No Rules Rules,₹233,https://rukminim2.flixcart.com/image/612/612/l4fxh8w0/regionalbooks/n/k/v/no-rules-rules-original-imagfc6gfnfnxcmt.jpeg?q=70,https://www.flipkart.com/no-rules/p/itm20997d5604478?pid=RBKGFC6GDT6GQSER&lid=LSTRBKGFC6GDT6GQSERYGATF9&marketplace=FLIPKART&q=books&store=bks&srno=s_21_819&otracker=search&fm=organic&iid=8b40245b-0312-4da8-895e-c58968baf7d0.RBKGFC6GDT6GQSER.SEARCH&ppt=None&ppn=None&ssid=imyd69zno00000001723900739398&qH=7d8949bcbf85067f
